MD5;ROM Serial;Name (No-Intro);is_synthetic
DC131A70357D28BC43649C4AD6CD4397;CGB-BDCP-0;Dukes of Hazzard, The - Racing for Home (Europe) (En,Fr,De);False
193F103B57F5861B55524644BADB4ECD;CGB-BDCE-0;Dukes of Hazzard, The - Racing for Home (USA);True
3F56E5776FF9A2B08A0C22F5EACF6017;DMG-ADWJ-0;Dungeon Savior (Japan) (SGB Enhanced) (GB Compatible);True
E5CF736F37CBBBBE6957E172DE5626FC;CGB-BZGJ-0;DX Jinsei Game (Japan);False
4CEC140483BAF799E883E717B8CE81A5;DMG-BMPJ-0;DX Monopoly GB (Japan) (SGB Enhanced) (GB Compatible);True
46B9A55A3049A1113BC5430EDAAF9401;CGB-BEOP-0;E.T. - The Extra-Terrestrial and the Cosmic Garden (Europe) (En,Fr,De,Es,It,Nl);False
F1B1776986BBADFA4E6771395FBC6214;CGB-BEOE-0;E.T. - The Extra-Terrestrial and the Cosmic Garden (USA);True
51091A6D773823B8731240676D9D25CF;CGB-BETE-0;E.T. - The Extra-Terrestrial - Digital Companion (USA);True
A4A756BE0D12C2BA7CA5A6420BB2198E;CGB-BERP-0;E.T. - The Extra-Terrestrial - Escape from Planet Earth (Europe) (En,Fr,De,Es,It,Nl);True
3EE67BD4471E60F4FEC6B0799219A2F5;CGB-BERE-0;E.T. - The Extra-Terrestrial - Escape from Planet Earth (USA);True
002D0D5FD2F668798DA1991B5FD5B4D8;DMG-AEBP-0;Earthworm Jim - Menace 2 the Galaxy (USA, Europe) (GB Compatible);False
45AFA73780709DB49CE92EEA952B0BAF;CGB-BECP-0;ECW Hardcore Revolution (USA, Europe);False
F88959B615F284CC120CD17F5263D018;CGB-BEXP-0;Elevator Action EX (Europe) (En,Fr,De,Es,It);False
0979556C11F2EE65A8D9A03B4A1C04D7;CGB-BEXJ-0;Elevator Action EX (Japan);True
473E78B1D576A052492E1B4B80F4D3B3;DMG-A8EJ-0;Elie no Atelier GB (Japan) (SGB Enhanced) (GB Compatible);False
F7E5F82FF68AA678B92E41159DB34E90;DMG-AE3E-0;Elmo's 123s (USA) (GB Compatible);True
DB9D9E20AF969A2EE248AE9AF42A5D36;DMG-AEAE-0;Elmo's ABCs (USA) (GB Compatible);True
A308DE3B28CE996E8A1FF16AE8D26919;CGB-BENP-0;Emperor's New Groove, The (Europe) (En,Fr,De,Es,It);True
E98B6A7BB91BB0A7E80E40985EEFB1D0;CGB-BENE-0;Emperor's New Groove, The (USA);True
E1FCD22F776DC38D0BCFFA697794CB1E;CGB-B3HE-0;ESPN International Track & Field (USA);True
D34ABDA546C5F42E40A2EEB28D029DE4;CGB-BT4E-0;ESPN National Hockey Night (USA);True
222AA591B387A4B897B61961EBEB9FDB;CGB-BLCJ-0;Estpolis Denki - Yomigaeru Densetsu (Japan);True
0C80CBBAE8650152FBA0278350BD0BD4;CGB-BMHP-0;European Super League (Europe) (En,Fr,De,Es,It);True
5E1B4969A76E069ACF2622F7BB05D8D3;DMG-AEVP-0;Evel Knievel (Europe) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible);True
F9C554DFCE8383F16E554B61083F0922;DMG-AEVE-0;Evel Knievel (USA) (GB Compatible);False
2C56BDCE336B543DE4653A493B870481;CGB-BEBP-0;Extreme Ghostbusters (Europe) (En,Fr,De,Es,It,Pt);True
E20F2057C2143993C0F844097D0086D5;CGB-BESE-0;Extreme Sports with the Berenstain Bears (USA, Europe) (En,Fr,De,Es,It);False
CFB6A98BEF18C56E466D27B885E20F8F;CGB-AFIP-0;F-1 World Grand Prix (Europe) (En,Fr,De,Es);False
58670204EC7B8791576E3C88BA7C1DDF;CGB-B18P-0;F-18 Thunder Strike (USA, Europe);False
2650D134DD6DE865C8C8DBF5A5A385A4;CGB-BSJP-0;F.A. Premier League Stars 2001, The (Europe);True
4448C35BEBF32629E23F64C61CC50565;CGB-BFIP-0;F1 Championship Season 2000 (Europe) (En,Fr,De,Es,It);True
A7D2695B3DDC268389E36F916815F96D;CGB-AEQP-0;F1 Racing Championship (Europe) (En,Fr,De,Es,It);True
