MD5;Name (No-Intro);Size;Dump Type;Good Dump;Date;Datter;Cart Serial;PCB;ROM Serial;Stamp
C74C728CE3177A3A9ABC5870B6762885;Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan);2097152;Trusted Dump;TRUE;13 09 2014;BigFred;CGB-BPUJ-JPN;;;;
1CDC49E8F8340C2CE27FD3F5CDD3D618;Austin Powers - Oh, Behave! (Europe) (En,Fr,De,Es,It);4194304;Third Party;TRUE;01 01 1990;root;CGB-BAPX-EUR;;;;
2ABA33E89CACA45C9091B25A276DD4C6;Austin Powers - Oh, Behave! (USA);4194304;Third Party;TRUE;01 01 1990;root;CGB-BAPE-USA;;;;
93226CE541766D8B8B7D1F70866AD530;Austin Powers - Welcome to my Underground Lair! (Europe) (En,Fr,De,Es,It);4194304;Trusted Dump;TRUE;25 01 2014;Tauwasser;CGB-BEAX-EUU;DMG-A08-10;CGB-BEAX-0;;
1B2190911DB606DCE58D694E8B591E69;Austin Powers - Welcome to my Underground Lair! (USA);4194304;Third Party;TRUE;01 01 1990;root;CGB-BEAE-USA;;;;
E1AE3E808F17B972D063A0BB0D58888E;Aventures de Buzz l'Eclair, Les (France);524288;Third Party;TRUE;01 01 1990;root;CGB-BUZF-FRA;;;;
E5D8AEA67AEF0EE94ACF1ED35900EA74;Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan);1048576;Trusted Dump;TRUE;10 10 2010;root;CGB-BOAJ-JPN;;;;
F6B6DDFAAF03392DC469F4EED49EC15D;Azure Dreams (Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible);2097152;Trusted Dump;TRUE;12 10 2010;root;DMG-AAYP-EUR;;;;
464ACBE3C82887DB897C39CDBA877237;Azure Dreams (USA) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;08 03 2014;BigFred;DMG-AAZE-USA;;;;
BA1195224261ABD308DB025D69EE2227;B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;;;;;
BA1195224261ABD308DB025D69EE2227;B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced) (GB Compatible);1048576;Third Party;TRUE;31 03 2018;Tauwasser;DMG-AOKJ-JPN;DMG-A06-01;DMG-AOKJ-0;12;
A10A70354CC998E31F0B5FB27C471C37;B-Daman Bakugaiden V - Final Mega Tune (Japan);2097152;Third Party;TRUE;01 01 1990;root;CGB-AIRJ-JPN;;;;
146BC8912C207C200535B84C5ACFB06A;Babe and Friends (Europe) (En,Fr,De,Es,It) (GB Compatible);1048576;Trusted Dump;TRUE;07 09 2010;root;DMG-AVAP-FAH;;DMG-AVAP-0;;
5423B2D603C9D4381594AA3D68441A69;Babe and Friends (USA) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-AVAE-USA;;;;
45C4B87D2E3FE86FCCC6941FFD724098;Baby Felix - Halloween (Europe) (En,Fr,De,Es,It,Nl);1048576;Third Party;TRUE;01 01 1990;root;CGB-BFHP-EUR;;;;
FF1B35A16B0ECA8E1FB10AF164E66421;Backgammon (Europe) (En,Fr,De,Es) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-AAKP-EUR;;;;
D14C8CBCCA2510A3C92107312999BEBC;Backgammon (Japan) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-AAKJ-JPN;;;;
21C2DD91AE2D46C006C00CACA96D2B6B;Bad Badtz-Maru Robo Battle (Japan);2097152;Trusted Dump;TRUE;10 10 2010;root;CGB-BBRJ-JPN;;;;
60DF8A170849C5F5A6F94B1531A29A34;Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;01 01 1990;root;DMG-A4RJ-JPN;;;;
60DF8A170849C5F5A6F94B1531A29A34;Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible);1048576;Third Party;TRUE;31 03 2018;Tauwasser;DMG-A4RJ-JPN;DMG-A06-01;DMG-A4RJ-0;13;
4D6CE58AC78078D47A807CB326C3919A;Bakusou Dekotora Densetsu GB Special - Otoko Dokyou no Tenka Touitsu (Japan);1048576;Trusted Dump;TRUE;02 05 2015;xuom2;CGB-BDBJ-JPN;;;;
CEB1A6C3CE3D2921C0FB65F420F811FA;Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan) (GB Compatible);1048576;Trusted Dump;TRUE;23 08 2014;BigFred;DMG-AUEJ-JPN;;DMG-AUEJ-0;;
50F6FE2488600B1B80B8DEA0AEEAC2E1;Bakuten Shoot Beyblade (Japan);2097152;Third Party;TRUE;01 01 1990;root;CGB-BB3J-JPN;;;;
3B783F3FDED9C61F2F9BB1D956BFD6CD;Ballistic (USA) (GB Compatible);524288;Third Party;TRUE;01 01 1990;root;DMG-ALIE-USA;;;;
F94F61E6BEAEC6222E0D35229E2E271E;Balloon Fight GB (Japan) (NP, SGB Enhanced) (GB Compatible);262144;Third Party;TRUE;01 01 1990;root;DMG-B8KJ-JPN;;;;
28DD8318BD521B42243AF4546062ECAB;Barbie - Aventura Submarina (Spain) (GB Compatible);1048576;Trusted Dump;TRUE;07 09 2010;root;DMG-ADYS-ESP;;DMG-ADYS-0;;
8565F7B388A1741FE41A8C972D95869E;Barbie - Avventure nell'Oceano (Italy) (GB Compatible);1048576;Trusted Dump;TRUE;10 09 2010;root;DMG-ADYI-ITA;;DMG-ADYI-0;;
21D99FB62922E3538C0B11749A7DB8E4;Barbie - Chasse au Tresor Sous-Marine (France) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-ADYF-FRA;;;;
CC130E8228A37ECC3D38F7F34AAFEDAA;Barbie - Diepzee Avontuur (Netherlands) (GB Compatible);1048576;Trusted Dump;TRUE;10 10 2010;root;DMG-ADYH-HOL;;;;
45EEADE46BD85F80AF13AF9DCE572B9C;Barbie - Fashion Pack Games (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;10 09 2010;Tauwasser;DMG-BFPP-EUR;DMG-A07-01;DMG-BFPP-0;;
829DA007514E8A1CCC7EFE6A7EE5226F;Barbie - Magic Genie Adventure (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-BMCE-USA;;;;
CE1B3EFD190F51E089BEC904E92A5F01;Barbie - Meeres Abenteuer (Germany) (GB Compatible);1048576;Trusted Dump;TRUE;25 01 2014;Tauwasser;DMG-ADYD-NOE;DMG-A07-01;DMG-ADYD-0;22;
0D4F6B00B4A1B047EF13A91537F7314A;Barbie - Ocean Discovery (Europe) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-ADYP-UKV;;;;
89DE435CB69325B42D569015CA09F49F;Barbie - Ocean Discovery (USA) (GB Compatible);1048576;Third Party;TRUE;01 01 1990;root;DMG-ADYE-USA;;;;
DCCB2ADEC6B97AC35614414A427ABDBB;Barbie - Pet Rescue (Europe) (En,Fr,De,Es,It);1048576;Trusted Dump;TRUE;10 10 2010;root;CGB-BPEP-EUR;;;;
BBFD881158BAE49739DCE7E60C6AEAB2;Barbie - Pet Rescue (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-BPEE-USA;;;;
0FC64C4AEE8AA7A11ED80C4E93F63F47;Barbie - Shelly Club (Europe) (En,Fr,De,Es,It);1048576;Trusted Dump;TRUE;01 01 1990;root;CGB-BKIP-EUR;;;;
0FC64C4AEE8AA7A11ED80C4E93F63F47;Barbie - Shelly Club (Europe) (En,Fr,De,Es,It);1048576;Trusted Dump;TRUE;01 01 1990;root;CGB-BKIP-EUR;;;;
0FC64C4AEE8AA7A11ED80C4E93F63F47;Barbie - Shelly Club (Europe) (En,Fr,De,Es,It);1048576;Trusted Dump;TRUE;10 09 2010;root;CGB-BKIP-EUR;;CGB-BKIP-0;;
522910C5DAF605B45745FA97CDA41F84;Barca Total 2000 (Europe) (En,Fr,De,Es,It,Nl,Ca);1048576;Third Party;TRUE;01 01 1990;root;CGB-AO3X-ESP;;;;
00CA1749B004D4C38CDFC884BD547F72;Barcode Taisen Bardigun (Japan) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;01 01 1990;root;DMG-ABEJ-JPN;;;;
00CA1749B004D4C38CDFC884BD547F72;Barcode Taisen Bardigun (Japan) (SGB Enhanced) (GB Compatible);1048576;Trusted Dump;TRUE;06 10 2012;Tauwasser;DMG-ABEJ-JPN;DMG-KFDN-01;DMG-ABEJ-0;22;
3BFA6ECA3E26C8B4EE8E31AC7064085A;Bass Masters Classic (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;11 09 2010;Tauwasser;DMG-AQMP-EUR;DMG-A07-01;DMG-AQMP-0;;
CDF275A96518EFD2236F0BBB5321C0E3;Batman Beyond - Return of the Joker (Japan) (NP);1048576;Trusted Dump;TRUE;03 04 2014;Tauwasser;CGB-BTKJ-JPN;;;;
DD9E7C40F202F2C3963930E195D75F4D;Batman Beyond - Return of the Joker (USA);1048576;Third Party;TRUE;01 01 1990;root;CGB-BTKE-USA;;;;
19CD9D45C6BB221613101B22C72593B2;Batman of the Future - Return of the Joker (Europe) (En,Fr,De);1048576;Third Party;TRUE;01 01 1990;root;CGB-BTKP-EUR;;;;
2376C643827D665E9883FFD1B5AC5B37;Battle Fishers (Japan);2097152;Third Party;TRUE;01 01 1990;root;CGB-BBAJ-JPN;;;;
FD1F17AA8C4B5C2963DB8B0444673A3D;Battleship (USA, Europe) (GB Compatible);1048576;Trusted Dump;TRUE;10 09 2010;Tauwasser;DMG-AIPP-EUR;DMG-A07-01;DMG-AIPP-0;;
